time,prevBugs,linesAdded,linesRemoved,totalChurn,loc,max-len,complex-chaining,max-params,max-nested-callbacks,max-statements,complexity,max-depth,complex-switch-case,this-assign,no-reassign,extra-bind,cond-assign,smelly,event
48,0,2,67,69,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,0,5,1,6,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,0,0,2,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
750,1,6,0,6,26,0,0,0,0,0,0,0,0,0,1,0,0,1,1
90,2,1,1,2,26,0,0,0,0,0,0,0,0,0,1,0,0,1,1
2523,3,6,0,6,32,0,0,0,0,0,0,0,0,0,1,0,0,1,1
2301,3,2,1,3,33,0,0,0,0,0,0,0,0,0,1,0,0,1,0
502,3,4,0,4,62,0,0,0,0,0,0,0,0,0,1,0,0,1,0
267,4,6,2,8,37,0,0,0,0,0,0,0,0,0,1,0,0,1,1
2960,4,0,7,7,55,0,0,0,0,0,0,0,0,0,1,0,0,1,0
549,5,50,30,80,57,0,0,0,0,0,0,0,0,0,1,0,0,1,1
2,6,5,0,5,62,0,0,0,0,0,0,0,0,0,1,0,0,1,1
3028,6,13,10,23,58,0,0,0,0,0,0,0,0,0,1,0,0,1,0
4792,6,9,1,10,70,0,0,0,0,0,0,0,0,0,1,0,0,1,0
